Pattern,Engine,Input_Size,Time_ns,Matches
Complex/identifier,RE2,16384,23497.81,10000
Complex/identifier,PCRE2,16384,8855.91,10000
Complex/identifier,Hyperscan,16384,8794.81,10000
Complex/identifier,CTRE,32768,114248.13,10000
Complex/identifier,RE2,32768,46713.55,10000
Complex/identifier,PCRE2,32768,17634.05,10000
Complex/identifier,Hyperscan,32768,17582.26,10000
Complex/url,CTRE,16,6.23,10000
Complex/url,RE2,16,74.18,10000
Complex/url,PCRE2,16,20.36,10000
Complex/url,Hyperscan,16,52.75,10000
Complex/url,std::regex,16,230.02,2000
Complex/url,CTRE,32,14.83,10000
Complex/url,RE2,32,93.18,10000
Complex/url,PCRE2,32,28.52,10000
Complex/url,Hyperscan,32,85.79,10000
Complex/url,std::regex,32,639.02,2000
Complex/url,CTRE,64,32.22,10000
Complex/url,RE2,64,138.1,10000
Complex/url,PCRE2,64,45.68,10000
Complex/url,Hyperscan,64,146.13,10000
Complex/url,std::regex,64,1315.92,2000
Complex/url,CTRE,128,67.25,10000
Complex/url,RE2,128,226.02,10000
Complex/url,PCRE2,128,78.8,10000
Complex/url,Hyperscan,128,361.91,10000
Complex/url,std::regex,128,2595.62,2000
Complex/url,CTRE,256,140.08,10000
Complex/url,RE2,256,412.79,10000
Complex/url,PCRE2,256,153.49,10000
Complex/url,Hyperscan,256,648.04,10000
Complex/url,std::regex,256,4422.46,2000
Complex/url,CTRE,512,275.71,10000
Complex/url,RE2,512,766.08,10000
Complex/url,PCRE2,512,290.73,10000
Complex/url,Hyperscan,512,1190.95,10000
Complex/url,std::regex,512,9236.6,2000
Complex/url,CTRE,1024,550.26,10000
Complex/url,RE2,1024,1494.45,10000
Complex/url,PCRE2,1024,565.42,10000
Complex/url,Hyperscan,1024,2291.06,10000
Complex/url,std::regex,1024,18616.03,2000
Complex/url,CTRE,2048,1099.56,10000
Complex/url,RE2,2048,2924.57,10000
Complex/url,PCRE2,2048,1113.28,10000
Complex/url,Hyperscan,2048,4485.55,10000
Complex/url,std::regex,2048,38423.44,2000
Complex/url,CTRE,4096,2200.77,10000
Complex/url,RE2,4096,5886.52,10000
Complex/url,PCRE2,4096,2216.7,10000
Complex/url,Hyperscan,4096,8882.68,10000
Complex/url,std::regex,4096,95218.37,2000
Complex/url,CTRE,8192,4391.22,10000
Complex/url,RE2,8192,11979.16,10000
Complex/url,PCRE2,8192,4405.36,10000
Complex/url,Hyperscan,8192,17659.03,10000
Complex/url,std::regex,8192,235899.95,2000
Complex/url,CTRE,16384,8785.38,10000
Complex/url,RE2,16384,23437.0,10000
Complex/url,PCRE2,16384,8794.84,10000
Complex/url,Hyperscan,16384,35234.07,10000
Complex/url,CTRE,32768,17594.81,10000
Complex/url,RE2,32768,46426.15,10000
Complex/url,PCRE2,32768,17579.86,10000
Complex/url,Hyperscan,32768,70370.57,10000
Complex/key_value,CTRE,16,7.89,10000
Complex/key_value,RE2,16,74.91,10000
Complex/key_value,PCRE2,16,24.44,10000
Complex/key_value,Hyperscan,16,53.16,10000
Complex/key_value,std::regex,16,314.12,2000
Complex/key_value,CTRE,32,16.9,10000
Complex/key_value,RE2,32,94.78,10000
Complex/key_value,PCRE2,32,29.24,10000
Complex/key_value,Hyperscan,32,84.2,10000
Complex/key_value,std::regex,32,574.95,2000
Complex/key_value,CTRE,64,35.3,10000
Complex/key_value,RE2,64,139.77,10000
Complex/key_value,PCRE2,64,42.25,10000
Complex/key_value,Hyperscan,64,73.49,10000
Complex/key_value,std::regex,64,1268.99,2000
Complex/key_value,CTRE,128,71.79,10000
Complex/key_value,RE2,128,228.3,10000
Complex/key_value,PCRE2,128,72.46,10000
Complex/key_value,Hyperscan,128,106.47,10000
Complex/key_value,std::regex,128,2661.04,2000
Complex/key_value,CTRE,256,143.52,10000
Complex/key_value,RE2,256,409.8,10000
Complex/key_value,PCRE2,256,121.97,10000
Complex/key_value,Hyperscan,256,175.28,10000
Complex/key_value,std::regex,256,5673.53,2000
Complex/key_value,CTRE,512,286.01,10000
Complex/key_value,RE2,512,763.41,10000
Complex/key_value,PCRE2,512,229.39,10000
Complex/key_value,Hyperscan,512,314.93,10000
Complex/key_value,std::regex,512,11259.0,2000
Complex/key_value,CTRE,1024,558.21,10000
Complex/key_value,RE2,1024,1521.81,10000
Complex/key_value,PCRE2,1024,451.8,10000
Complex/key_value,Hyperscan,1024,587.66,10000
Complex/key_value,std::regex,1024,23778.38,2000
Complex/key_value,CTRE,2048,1118.18,10000
Complex/key_value,RE2,2048,2919.05,10000
Complex/key_value,PCRE2,2048,886.03,10000
Complex/key_value,Hyperscan,2048,1134.57,10000
Complex/key_value,std::regex,2048,56928.62,2000
Complex/key_value,CTRE,4096,2220.46,10000
Complex/key_value,RE2,4096,5845.36,10000
Complex/key_value,PCRE2,4096,1757.99,10000
Complex/key_value,Hyperscan,4096,2226.88,10000
Complex/key_value,std::regex,4096,116230.1,2000
Complex/key_value,CTRE,8192,4431.91,10000
Complex/key_value,RE2,8192,11722.25,10000
Complex/key_value,PCRE2,8192,3471.21,10000
Complex/key_value,Hyperscan,8192,4414.28,10000
Complex/key_value,std::regex,8192,221741.26,2000
Complex/key_value,CTRE,16384,8881.45,10000
Complex/key_value,RE2,16384,23171.19,10000
Complex/key_value,PCRE2,16384,6903.41,10000
Complex/key_value,Hyperscan,16384,8782.7,10000
Complex/key_value,CTRE,32768,17760.6,10000
Complex/key_value,RE2,32768,46938.73,10000
Complex/key_value,PCRE2,32768,13870.02,10000
Complex/key_value,Hyperscan,32768,17560.63,10000
Complex/http_method,CTRE,16,9.09,10000
Complex/http_method,RE2,16,78.77,10000
Complex/http_method,PCRE2,16,26.59,10000
Complex/http_method,Hyperscan,16,54.2,10000
Complex/http_method,std::regex,16,314.31,2000
Complex/http_method,CTRE,32,18.55,10000
Complex/http_method,RE2,32,97.9,10000
Complex/http_method,PCRE2,32,29.64,10000
Complex/http_method,Hyperscan,32,84.25,10000
Complex/http_method,std::regex,32,728.35,2000
